scenario,solver,n,p,num_mc,snr,metric,value
C,TAFS,5000,100000,10,1.000000,Avg L,1.100000
C,TAFS,5000,100000,10,1.000000,Avg T,4.800000
C,TAFS,5000,100000,10,1.000000,DGP s,1.818059
C,TAFS,5000,100000,10,1.000000,Select s,516.817831
C,TAFS,5000,100000,10,1.000000,s/T-iter,100.725483
C,TAFS,5000,100000,10,1.000000,Total s,518.635889
C,TAFS,5000,100000,10,1.000000,RSS MiB,3907.375000
C,TAFS,5000,100000,10,1.000000,FootprMiB,84.050423
C,TAFS,5000,100000,10,1.000000,PeakRSS,56398.968750
C,TAFS,5000,100000,10,1.000000,X+y MiB,3814.735413
C,TAFS,5000,100000,10,2.000000,FDR,0.025758
C,TAFS,5000,100000,10,2.000000,TPR,1.000000
C,TAFS,5000,100000,10,2.000000,Avg L,1.100000
C,TAFS,5000,100000,10,2.000000,Avg T,3.700000
C,TAFS,5000,100000,10,2.000000,DGP s,1.864062
C,TAFS,5000,100000,10,2.000000,Select s,371.887855
C,TAFS,5000,100000,10,2.000000,s/T-iter,104.687676
C,TAFS,5000,100000,10,2.000000,Total s,373.751917
C,TAFS,5000,100000,10,2.000000,RSS MiB,3894.531250
C,TAFS,5000,100000,10,2.000000,FootprMiB,78.378525
C,TAFS,5000,100000,10,2.000000,PeakRSS,56398.968750
C,TAFS,5000,100000,10,2.000000,X+y MiB,3814.735413
