scenario,rho,snr,method,mean_coord_tpr,sd_coord_tpr,mean_coord_fdp,sd_coord_fdp,mean_exact_sup,mean_block_hit,mean_block_fdp,mean_full_block,mean_null_act,mean_purity,mean_lambda2,mean_T_stop,mean_M_found
WHOLE,0.800000,1.000000,M4(IE-O),0.085500,0.033666,0.018641,0.060038,0.000000,0.427500,0.018641,0.000000,0.001167,1.000000,181702.941214,7.165000,100.000000
WHOLE,0.800000,2.000000,M1(EN-C),0.721100,0.112642,0.060587,0.055795,0.000000,0.873500,0.141057,0.534000,0.018000,1.000000,87401.072913,11.855000,100.000000
WHOLE,0.800000,2.000000,M2(EN-O),0.721100,0.112642,0.060587,0.055795,0.000000,0.873500,0.141057,0.534000,0.018000,1.000000,87401.072913,11.855000,100.000000
WHOLE,0.800000,2.000000,M3(IE-C),0.119000,0.030059,0.007945,0.032917,0.000000,0.593500,0.007945,0.000000,0.000722,1.000000,87401.072913,6.325000,100.000000
WHOLE,0.800000,2.000000,M4(IE-O),0.119000,0.030059,0.007945,0.032917,0.000000,0.593500,0.007945,0.000000,0.000722,1.000000,87401.072913,6.325000,100.000000
WHOLE,0.800000,5.000000,M1(EN-C),0.862000,0.082888,0.061319,0.051890,0.005000,0.958000,0.146814,0.724000,0.020167,1.000000,64375.833573,12.100000,100.000000
WHOLE,0.800000,5.000000,M2(EN-O),0.862000,0.082888,0.061319,0.051890,0.005000,0.958000,0.146814,0.724000,0.020167,1.000000,64375.833573,12.100000,100.000000
WHOLE,0.800000,5.000000,M3(IE-C),0.144000,0.029739,0.011988,0.039965,0.000000,0.719500,0.011988,0.000000,0.001111,1.000000,64375.833573,5.895000,100.000000
WHOLE,0.800000,5.000000,M4(IE-O),0.144000,0.029739,0.011988,0.039965,0.000000,0.719500,0.011988,0.000000,0.001111,1.000000,64375.833573,5.895000,100.000000
WHOLE,0.900000,0.100000,M1(EN-C),0.008800,0.030713,0.041343,0.189082,0.000000,0.015000,0.043000,0.003000,0.000778,1.000000,8885333.463193,5.535000,100.000000
WHOLE,0.900000,0.100000,M2(EN-O),0.008800,0.030713,0.041343,0.189082,0.000000,0.015000,0.043000,0.003000,0.000778,1.000000,8885333.463193,5.535000,100.000000
WHOLE,0.900000,0.100000,M3(IE-C),0.000800,0.004411,0.010000,0.099748,0.000000,0.004000,0.010000,0.000000,0.000167,1.000000,8885333.463193,3.375000,100.000000
WHOLE,0.900000,0.100000,M4(IE-O),0.000800,0.004411,0.010000,0.099748,0.000000,0.004000,0.010000,0.000000,0.000167,1.000000,8885333.463193,3.375000,100.000000
