solver,metric,rho,support_type,gap,value
TREX-DA+AR1: TLARS,sd_TPP,0.900000,CappedSpread,15,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.900000,CappedSpread,15,0.200000
TREX-DA+AR1: TLARS,sd_FDP,0.900000,CappedSpread,15,0.401004
TREX-DA+AR1: TLARS,mean_TPP,0.900000,CappedSpread,10,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.900000,CappedSpread,10,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.900000,CappedSpread,10,0.145000
TREX-DA+AR1: TLARS,sd_FDP,0.900000,CappedSpread,10,0.352984
TREX-DA+AR1: TLARS,mean_TPP,0.900000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.900000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.900000,CappedSpread,5,0.145000
TREX-DA+AR1: TLARS,sd_FDP,0.900000,CappedSpread,5,0.352984
TREX-DA+AR1: TLARS,mean_TPP,0.900000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.900000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.900000,CappedSpread,1,0.090000
TREX-DA+AR1: TLARS,sd_FDP,0.900000,CappedSpread,1,0.286900
TREX-DA+AR1: TLARS,mean_TPP,0.900000,Random,,0.200000
TREX-DA+AR1: TLARS,sd_TPP,0.900000,Random,,0.133375
TREX-DA+AR1: TLARS,mean_FDP,0.900000,Random,,0.122679
TREX-DA+AR1: TLARS,sd_FDP,0.900000,Random,,0.223828
TREX-DA+AR1: TAFS,mean_TPP,0.000000,CappedSpread,100,0.998500
TREX-DA+AR1: TAFS,sd_TPP,0.000000,CappedSpread,100,0.012186
TREX-DA+AR1: TAFS,mean_FDP,0.000000,CappedSpread,100,0.112203
TREX-DA+AR1: TAFS,sd_FDP,0.000000,CappedSpread,100,0.057427
TREX-DA+AR1: TAFS,mean_TPP,0.000000,CappedSpread,50,0.998000
TREX-DA+AR1: TAFS,sd_TPP,0.000000,CappedSpread,50,0.014035
TREX-DA+AR1: TAFS,mean_FDP,0.000000,CappedSpread,50,0.110147
TREX-DA+AR1: TAFS,sd_FDP,0.000000,CappedSpread,50,0.062964
TREX-DA+AR1: TAFS,mean_TPP,0.000000,CappedSpread,20,0.999000
TREX-DA+AR1: TAFS,sd_TPP,0.000000,CappedSpread,20,0.009975
TREX-DA+AR1: TAFS,mean_FDP,0.000000,CappedSpread,20,0.109613
TREX-DA+AR1: TAFS,sd_FDP,0.000000,CappedSpread,20,0.064767
TREX-DA+AR1: TAFS,mean_TPP,0.000000,CappedSpread,15,0.998500
TREX-DA+AR1: TAFS,sd_TPP,0.000000,CappedSpread,15,0.012186
TREX-DA+AR1: TAFS,mean_FDP,0.000000,CappedSpread,15,0.116285
