solver,support_type,metric,Kappa,Rho,value
TREX-DA+NN: TLARS,Random,mean_FDP,2.000000,0.700000,0.118544
TREX-DA+NN: TLARS,Random,sd_FDP,2.000000,0.700000,0.102375
TREX-DA+NN: TLARS,Random,mean_TPP,2.000000,0.800000,0.862500
TREX-DA+NN: TLARS,Random,sd_TPP,2.000000,0.800000,0.135779
TREX-DA+NN: TLARS,Random,mean_FDP,2.000000,0.800000,0.108158
TREX-DA+NN: TLARS,Random,sd_FDP,2.000000,0.800000,0.105184
TREX-DA+NN: TLARS,Random,mean_TPP,2.000000,0.900000,0.850500
TREX-DA+NN: TLARS,Random,sd_TPP,2.000000,0.900000,0.145622
TREX-DA+NN: TLARS,Random,mean_FDP,2.000000,0.900000,0.103693
TREX-DA+NN: TLARS,Random,sd_FDP,2.000000,0.900000,0.107638
TREX-DA+NN: TLARS,Random,mean_TPP,3.000000,0.100000,0.922500
TREX-DA+NN: TLARS,Random,sd_TPP,3.000000,0.100000,0.114934
TREX-DA+NN: TLARS,Random,mean_FDP,3.000000,0.100000,0.075182
TREX-DA+NN: TLARS,Random,sd_FDP,3.000000,0.100000,0.078343
TREX-DA+NN: TLARS,Random,mean_TPP,3.000000,0.300000,0.960000
TREX-DA+NN: TLARS,Random,sd_TPP,3.000000,0.300000,0.074348
TREX-DA+NN: TLARS,Random,mean_FDP,3.000000,0.300000,0.100390
TREX-DA+NN: TLARS,Random,sd_FDP,3.000000,0.300000,0.082830
TREX-DA+NN: TLARS,Random,mean_TPP,3.000000,0.500000,0.919000
TREX-DA+NN: TLARS,Random,sd_TPP,3.000000,0.500000,0.102428
TREX-DA+NN: TLARS,Random,mean_FDP,3.000000,0.500000,0.105219
TREX-DA+NN: TLARS,Random,sd_FDP,3.000000,0.500000,0.089314
TREX-DA+NN: TLARS,Random,mean_TPP,3.000000,0.700000,0.850500
TREX-DA+NN: TLARS,Random,sd_TPP,3.000000,0.700000,0.132997
TREX-DA+NN: TLARS,Random,mean_FDP,3.000000,0.700000,0.126611
TREX-DA+NN: TLARS,Random,sd_FDP,3.000000,0.700000,0.109397
TREX-DA+NN: TLARS,Random,mean_TPP,3.000000,0.800000,0.828500
TREX-DA+NN: TLARS,Random,sd_TPP,3.000000,0.800000,0.148486
TREX-DA+NN: TLARS,Random,mean_FDP,3.000000,0.800000,0.117354
TREX-DA+NN: TLARS,Random,sd_FDP,3.000000,0.800000,0.109538
TREX-DA+NN: TLARS,Random,mean_TPP,3.000000,0.900000,0.792000
TREX-DA+NN: TLARS,Random,sd_TPP,3.000000,0.900000,0.153145
TREX-DA+NN: TLARS,Random,mean_FDP,3.000000,0.900000,0.117157
TREX-DA+NN: TLARS,Random,sd_FDP,3.000000,0.900000,0.111742
TREX-DA+NN: TLARS,Random,mean_TPP,5.000000,0.100000,0.924000
TREX-DA+NN: TLARS,Random,sd_TPP,5.000000,0.100000,0.110385
TREX-DA+NN: TLARS,Random,mean_FDP,5.000000,0.100000,0.082888
TREX-DA+NN: TLARS,Random,sd_FDP,5.000000,0.100000,0.086077
TREX-DA+NN: TLARS,Random,mean_TPP,5.000000,0.300000,0.958500
TREX-DA+NN: TLARS,Random,sd_TPP,5.000000,0.300000,0.071085
TREX-DA+NN: TLARS,Random,mean_FDP,5.000000,0.300000,0.105955
TREX-DA+NN: TLARS,Random,sd_FDP,5.000000,0.300000,0.081945
TREX-DA+NN: TLARS,Random,mean_TPP,5.000000,0.500000,0.922500
TREX-DA+NN: TLARS,Random,sd_TPP,5.000000,0.500000,0.100470
TREX-DA+NN: TLARS,Random,mean_FDP,5.000000,0.500000,0.111027
TREX-DA+NN: TLARS,Random,sd_FDP,5.000000,0.500000,0.090418
TREX-DA+NN: TLARS,Random,mean_TPP,5.000000,0.700000,0.855000
TREX-DA+NN: TLARS,Random,sd_TPP,5.000000,0.700000,0.140262
TREX-DA+NN: TLARS,Random,mean_FDP,5.000000,0.700000,0.124373
TREX-DA+NN: TLARS,Random,sd_FDP,5.000000,0.700000,0.104817
TREX-DA+NN: TLARS,Random,mean_TPP,5.000000,0.800000,0.780000
TREX-DA+NN: TLARS,Random,sd_TPP,5.000000,0.800000,0.150042
TREX-DA+NN: TLARS,Random,mean_FDP,5.000000,0.800000,0.146841
TREX-DA+NN: TLARS,Random,sd_FDP,5.000000,0.800000,0.115056
TREX-DA+NN: TLARS,Random,mean_TPP,5.000000,0.900000,0.725500
TREX-DA+NN: TLARS,Random,sd_TPP,5.000000,0.900000,0.156596
TREX-DA+NN: TLARS,Random,mean_FDP,5.000000,0.900000,0.175107
TREX-DA+NN: TLARS,Random,sd_FDP,5.000000,0.900000,0.117242
TREX-DA+NN: TLARS,Random,mean_TPP,7.000000,0.100000,0.931000
TREX-DA+NN: TLARS,Random,sd_TPP,7.000000,0.100000,0.103889
TREX-DA+NN: TLARS,Random,mean_FDP,7.000000,0.100000,0.086389
TREX-DA+NN: TLARS,Random,sd_FDP,7.000000,0.100000,0.091822
TREX-DA+NN: TLARS,Random,mean_TPP,7.000000,0.300000,0.958000
TREX-DA+NN: TLARS,Random,sd_TPP,7.000000,0.300000,0.078529
TREX-DA+NN: TLARS,Random,mean_FDP,7.000000,0.300000,0.120173
TREX-DA+NN: TLARS,Random,sd_FDP,7.000000,0.300000,0.086629
TREX-DA+NN: TLARS,Random,mean_TPP,7.000000,0.500000,0.920000
TREX-DA+NN: TLARS,Random,sd_TPP,7.000000,0.500000,0.101248
TREX-DA+NN: TLARS,Random,mean_FDP,7.000000,0.500000,0.127179
TREX-DA+NN: TLARS,Random,sd_FDP,7.000000,0.500000,0.098464
TREX-DA+NN: TLARS,Random,mean_TPP,7.000000,0.700000,0.829500
TREX-DA+NN: TLARS,Random,sd_TPP,7.000000,0.700000,0.155566
TREX-DA+NN: TLARS,Random,mean_FDP,7.000000,0.700000,0.159677
TREX-DA+NN: TLARS,Random,sd_FDP,7.000000,0.700000,0.113172
TREX-DA+NN: TLARS,Random,mean_TPP,7.000000,0.800000,0.731500
TREX-DA+NN: TLARS,Random,sd_TPP,7.000000,0.800000,0.170891
TREX-DA+NN: TLARS,Random,mean_FDP,7.000000,0.800000,0.209178
TREX-DA+NN: TLARS,Random,sd_FDP,7.000000,0.800000,0.133589
TREX-DA+NN: TLARS,Random,mean_TPP,7.000000,0.900000,0.681500
TREX-DA+NN: TLARS,Random,sd_TPP,7.000000,0.900000,0.171332
TREX-DA+NN: TLARS,Random,mean_FDP,7.000000,0.900000,0.260572
TREX-DA+NN: TLARS,Random,sd_FDP,7.000000,0.900000,0.142586
TREX-DA+NN: TLARS,Random,mean_TPP,10.000000,0.100000,0.930000
TREX-DA+NN: TLARS,Random,sd_TPP,10.000000,0.100000,0.099243
TREX-DA+NN: TLARS,Random,mean_FDP,10.000000,0.100000,0.083662
TREX-DA+NN: TLARS,Random,sd_FDP,10.000000,0.100000,0.082494
TREX-DA+NN: TLARS,Random,mean_TPP,10.000000,0.300000,0.964000
TREX-DA+NN: TLARS,Random,sd_TPP,10.000000,0.300000,0.072320
TREX-DA+NN: TLARS,Random,mean_FDP,10.000000,0.300000,0.114140
TREX-DA+NN: TLARS,Random,sd_FDP,10.000000,0.300000,0.094032
TREX-DA+NN: TLARS,Random,mean_TPP,10.000000,0.500000,0.924500
TREX-DA+NN: TLARS,Random,sd_TPP,10.000000,0.500000,0.101495
TREX-DA+NN: TLARS,Random,mean_FDP,10.000000,0.500000,0.114912
