"rho_level","rho","cut_height","var","group_size","group_members"
12,0.715675434721839,0.284324565278161,16,1,"16"
12,0.715675434721839,0.284324565278161,17,2,"17|18"
12,0.715675434721839,0.284324565278161,18,2,"17|18"
12,0.715675434721839,0.284324565278161,19,1,"19"
12,0.715675434721839,0.284324565278161,20,3,"20|21|22"
12,0.715675434721839,0.284324565278161,21,3,"20|21|22"
12,0.715675434721839,0.284324565278161,22,3,"20|21|22"
12,0.715675434721839,0.284324565278161,23,2,"23|24"
12,0.715675434721839,0.284324565278161,24,2,"23|24"
13,0.71573731954019,0.28426268045981,0,1,"0"
13,0.71573731954019,0.28426268045981,1,1,"1"
13,0.71573731954019,0.28426268045981,2,1,"2"
13,0.71573731954019,0.28426268045981,3,1,"3"
13,0.71573731954019,0.28426268045981,4,1,"4"
13,0.71573731954019,0.28426268045981,5,3,"5|6|7"
13,0.71573731954019,0.28426268045981,6,3,"5|6|7"
13,0.71573731954019,0.28426268045981,7,3,"5|6|7"
13,0.71573731954019,0.28426268045981,8,2,"8|9"
13,0.71573731954019,0.28426268045981,9,2,"8|9"
13,0.71573731954019,0.28426268045981,10,1,"10"
13,0.71573731954019,0.28426268045981,11,3,"11|12|13"
13,0.71573731954019,0.28426268045981,12,3,"11|12|13"
13,0.71573731954019,0.28426268045981,13,3,"11|12|13"
13,0.71573731954019,0.28426268045981,14,1,"14"
13,0.71573731954019,0.28426268045981,15,1,"15"
13,0.71573731954019,0.28426268045981,16,1,"16"
13,0.71573731954019,0.28426268045981,17,1,"17"
13,0.71573731954019,0.28426268045981,18,1,"18"
13,0.71573731954019,0.28426268045981,19,1,"19"
13,0.71573731954019,0.28426268045981,20,3,"20|21|22"
13,0.71573731954019,0.28426268045981,21,3,"20|21|22"
13,0.71573731954019,0.28426268045981,22,3,"20|21|22"
13,0.71573731954019,0.28426268045981,23,2,"23|24"
13,0.71573731954019,0.28426268045981,24,2,"23|24"
14,0.72320772800517,0.27679227199483,0,1,"0"
